timestamp_grouped,Usage_kWh_mean,Lagging_Current_Reactive.Power_kVarh_mean,Leading_Current_Reactive_Power_kVarh_mean,CO2(tCO2)_mean,Lagging_Current_Power_Factor_mean,Leading_Current_Power_Factor_mean,NSM_mean,WeekStatus_mode,Day_of_week_mode,Load_Type_mode,year,month,week,day
2018-01-01 00:00:00,3.4575,3.5375,0.0,0.0,70.14,100.0,1350.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 01:00:00,3.5025,3.94,0.0,0.0,66.5475,100.0,4950.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 02:00:00,3.53,4.1675,0.0,0.0,64.74000000000001,100.0,8550.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 03:00:00,3.455,4.05,0.0,0.0,65.0675,100.0,12150.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 04:00:00,3.6175,4.41,0.0,0.0,63.5175,100.0,15750.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 05:00:00,3.4275,3.815,0.0,0.0,66.89,100.0,19350.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 06:00:00,3.565,3.9425,0.0,0.0,67.205,100.0,22950.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 07:00:00,3.41,3.8425,0.0,0.0,66.5725,100.0,26550.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 08:00:00,3.465,4.1825,0.045,0.0,63.93,99.9675,30150.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 09:00:00,3.8600000000000003,0.0,18.28,0.0,100.0,20.865000000000002,33750.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 10:00:00,3.7550000000000003,0.0,18.53,0.0,100.0,20.005,37350.0,Weekday,Monday,Light_Load,2018,1,1,1
2018-01-01 11:00:00,3.79,0.0,10.1425,0.0,100.0,44.957499999999996,40950.0,Weekday,Monday,Light_Load,2018,1,1,1
